id,Name,Latitude,Longitude,n_bus
natural_attractions0,Itinerario Riserva Naturalistica del Laghestel,46.129722,11.243889,bus_stop177
natural_attractions1,Giro Dos Alt - Cime Alte,46.140278,11.256389,bus_stop179
natural_attractions2,Sentiero di Segonzano,46.181111,11.263333,bus_stop237
natural_attractions3,Giro dei Laghi,46.134444,11.249167,bus_stop178
natural_attractions4,Lago di Serraia,46.137857,11.256437,bus_stop179
natural_attractions5,Itinerario Lago di Lases - Lago di Santa Colomba,46.141667,11.218056,bus_stop226
natural_attractions6,Itinerario Monte Corno,46.230556,11.300833,bus_stop103
natural_attractions7,Itinerario Masi di Grumes - Cauria,46.223611,11.264444,bus_stop2335
natural_attractions8,Dosso di Costalta,46.125278,11.253611,bus_stop824
natural_attractions9,Itinerario Monte Calvo,46.125278,11.253611,bus_stop824
natural_attractions10,Dosso di Segonzano - da Bedollo,46.161111,11.301944,bus_stop185
natural_attractions11,Lago Santo di Cembra,46.196,11.207999,bus_stop95
natural_attractions12,Dos de la Mot,46.108056,11.239444,bus_stop832
natural_attractions13,Lago di Lases,46.140599,11.22129,bus_stop226
natural_attractions14,Lago di Santa Colomba,46.1243633,11.1806773,bus_stop218
natural_attractions15,Trekking delle cave,46.1425,11.193056,bus_stop228
natural_attractions16,Itinerario Monte Corona,46.175833,11.166667,bus_stop84
natural_attractions17,Sentiero Maderlina,46.160278,11.186389,bus_stop90
natural_attractions18,Passeggiata di Bedolpian,46.135556,11.245833,bus_stop178
natural_attractions19,Pian del Gacc,46.13089,11.20333,bus_stop1883
natural_attractions20,Sentiero lago Santo,46.175556,11.223056,bus_stop118
natural_attractions21,Itinerario Val Regnana - Valle dei Mocheni,46.159722,11.299167,bus_stop184
natural_attractions22,Sentiero Mancabrot e del lac de Montesel,46.160278,11.160278,bus_stop83
natural_attractions23,Sentiero Val Regnana,46.160278,11.294444,bus_stop184
natural_attractions24,Ecomuseo dell'Argentario,46.0886,11.1822,bus_stop2592
natural_attractions25,Itinerario Malga Vernera - Rifugio Vasoni,46.217778,11.3275,bus_stop141
natural_attractions26,Biotopo Laghestel,46.11487,11.2258,bus_stop175
natural_attractions27,Itinerario Malga Stramaiolo,46.126111,11.253889,bus_stop824
natural_attractions28,Itinerario Roccolo del Sauch,46.175556,11.166667,bus_stop84
natural_attractions29,Itinerario Lago Santo - Passo Potzmauer,46.196944,11.205278,bus_stop95
natural_attractions30,Itinerario lago di Valda - Castion,46.207778,11.265833,bus_stop101
natural_attractions31,Sentiero dei Vecchi Mestieri,46.230556,11.300833,bus_stop103
natural_attractions32,Lago delle Piazze,46.153711,11.278925,bus_stop182
natural_attractions33,Itinerario lago di Serraia - lago delle Piazze,46.134167,11.249167,bus_stop178
natural_attractions34,Piramidi di Terra di Segonzano,46.18175,11.269611,bus_stop237
natural_attractions35,Dosso di Segonzano - da Segonzano,46.180833,11.263611,bus_stop237
natural_attractions36,Biotopo Lona Lases e buche del ghiaccio,46.142994,11.222609,bus_stop226
natural_attractions37,Sorgente Ferruginosa,46.125278,11.253889,bus_stop824
natural_attractions38,Sentiero Bedollo - Brusago,46.165,11.300278,bus_stop186
natural_attractions39,Torbiera del Vedes,46.237503,11.267382,bus_stop103
natural_attractions40,Lago delle Buse,46.179277,11.32375,bus_stop2235
natural_attractions41,Biotopo Le Grave,46.12397,11.178523,bus_stop218
natural_attractions42,Giro di Ceramonte,46.134444,11.261389,bus_stop179
natural_attractions43,Roccolo del Sauch,46.214783,11.192523,bus_stop1814
natural_attractions44,Sentiero del laghetto Vedes,46.229167,11.297778,bus_stop103
natural_attractions45,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO,46.3074061,11.699201,bus_stop734
