,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bus,n_bike,n_hhouse
0,0,Centro Fondo Lavazé,46.35474,11.492738,Varena,Loc. Passo di Lavazè,,Stava,Cavalleggeri,BACCHINI PATRIZIO
1,1,Monte Bondone,46.02759,11.04461,Trento,Monte Bondone,,Rocce Rosse, PalaTrento,Lagolo
2,2,Pista NeveGhiaccio Parco La Cascatella,46.0656680136228,11.6557645797729,Castello Tesino,Loc. Parco La Cascatella,+39 (346) 7651584,Castello Tesino, Cimitero Villazzano,BRAUS SIRO
3,3,Pista da pattinaggio,46.0800479974203,11.2791180610657,Pergine Valsugana,Fraz. Canezza,+39 (0461) 530236,Canezza-Dif. Al Sole, Cimitero Villazzano,FRANCESCHI NADIA
4,4,Snowpark LGR Playground,46.115847694466,11.6611289978027,Castello Tesino,Loc. Marande-Passo Brocon,+39 (0461) 1866050,Ronco Chiesa, Cimitero Villazzano,BAITA DEGLI ANGELI di Walter Viero
5,5,Snowpark Panarotta,46.0571513916192,11.3129138946533,Levico Terme,Loc Panarotta,+39 (0461) 706757,Maso Tingherla, Cimitero Villazzano,GRISENTI ROBERTO
6,6,SUAN PARK,46.2860459762847,11.5686678886414,Ziano di Fiemme,"Via Verdi, c/o parco giochi",+39 (347)5323839  ,Ziano di Fiemme-Alla Roda,Mach,POLO VANZETTA SILVIA
7,7,MINIGOLF - CAVALESE,46.2895602194644,11.4642119407654,Cavalese,Via Roma,+39 (335)1016559,Cavalese Autostaz.,Stazione TN-Malè - RFI,CHELODI BETTA ESTER
8,8,AVISIO PARK,46.2833471217223,11.4734172821045,Cavalese,Masi c/o Stazione a Valle Cabinovia Cermis,+39 (347)5323839,Milon,Stazione TN-Malè - RFI,GALVAN RENZO
9,9,SNOWPARK LAVAZE',46.3545996970673,11.4930725097656,Cavalese,Via Borgonuovo 80 Passo Lavazè,+39 (0462)231830,Stava,Cavalleggeri,BACCHINI PATRIZIO
10,10,ADVENTURE DOLOMITI BY ACROPARK,46.2617514986334,11.4176273345947,Castello-Molina di Fiemme,Loc.Piazzol,+39 (347)1375350,Molina di Fiemme Via Cembra 47,Mach,MARCH SARA
11,11,ALPINE COASTER GARDONE',46.3408247187732,11.5781307220459,Predazzo,Loc. Stamelin,+39 (0462)502929,Predazzo-Impianti Latemar,Stazione TN-Malè - RFI,MORANDINI BRUNA
12,12,MINIGOLF - PREDAZZO,46.3114264961786,11.615252494812,Predazzo,Loc Baldiss,,Predazzo-Piscina Com.,Mach,CROCE LUIGIA
