,index,Name,Latitude,Longitude,City,Address,Phone_number,n_bus,n_bike,n_natural,n_gas,n_locsou,n_carpark
0,0,Lido Lillà **,46.096732,11.056698,Terlago,"Via al Travolt, 5",+39 0461 865377,Lago di Terlago-Hotel Lillà, Roncafort,Ecomuseo dell'Argentario,AGIP di Banali Marco e C. Sas,Antica Salumeria Belli,Palazzo Onda
1,1,Laghi di Lamar **,46.110753,11.047959,Terlago,"Via alla Selva Faeda, 15",+39 0461 860423,Monte Terlago-H. 2 Laghi, Roncafort,Biotopo Le Grave,AGIP di Banali Marco e C. Sas,Antica Salumeria Belli,Palazzo Onda
2,2,CAMPING PINETA,46.1536,11.2867,,,,Piazze di Bedollo,Mach,Lago delle Piazze,Distributore Cielle,APICOLTURA GOCCE D'ORO,Palazzo Onda
3,3,CAMPING VERDE BLU,46.1529,11.2871,,,,Piazze di Bedollo,Mach,Lago delle Piazze,Distributore Cielle,APICOLTURA GOCCE D'ORO,Palazzo Onda
4,4,CAMPING CANE' IN FIORE,46.12019,11.261748,,,,Canè, Bren Center,Sorgente Ferruginosa,Distributore  Avi Luca & C. Snc,Erspamer Irene Snc,Palazzo Onda
5,5,CAMPING VALLE VERDE,46.3093514280608,11.6400146484375,Predazzo,LOC. ALL'ISCHIA SOTTO SASSA,(0039) 0462 502394,Bellamonte-Albergo Zaluna,Mach,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO,AGIP - PREDAZZO,PROGETTO LEGNO,via Cece - Bellamonte
6,6,CAMPEGGIO CALVELLO,46.2921357,11.4407586,Ville di Fiemme,"LOC. CALVELLO, 10",(0039) 0462 341694,Carano Municipio,Stazione TN-Malè - RFI,Itinerario Malga Vernera - Rifugio Vasoni,PEKE SAS DEGIAMPIETRO PAOLO & C STAZIONE SERVIZIO,CASEIFICIO SOCIALE VAL DI FIEMME,via Giovanelli (1) - Carano scuole elementari
7,7,CAMPING BELLAMONTE,46.3111901,11.6588808,Predazzo,"Via Cece, 16",(0039) 0462 576119,Bellamonte,Mach,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO,AGIP - PREDAZZO,PROGETTO LEGNO,via Cece - Bellamonte
8,8,CAMPING RIVIERA,46.0045932557448,11.2592697143555,Calceranica Al Lago,"VIALE VENEZIA, 10",(0039) 0461 724464,Ischia-Alle Terrazze, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
9,9,CAMPING LAGORAI,46.0904956970005,11.5986442565918,Pieve Tesino,"LOC. QUISTAON, 1",(0039) 0461 593355,Pradellano-Al Lago, Cimitero Villazzano,Lago delle Buse,stazioneservizio,Macelleria Capraro,via Stazione - Ziano
10,10,CAMPEGGIO SPIAGGIA,46.0048615363479,11.2602138519287,Calceranica Al Lago,"VIALE VENEZIA, 14",(0039) 0461 723037,Ischia-Alle Terrazze, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
11,11,CAMPING PUNTA INDIANI,46.0282565610645,11.2328338623047,Pergine Valusgana,"LOC. VALCANOVER, 77",(0039) 0461 548062,Valcanover, Cimitero Villazzano,Ecomuseo dell'Argentario,Esso Area di Servizio EST,Re Laurino,Ghiaie (via Fersina)
12,12,CASTELTESINO CAMPING,46.0676480888854,11.6337060928345,Castello Tesino,"LOC. SOTTOMOLIZZA, 1",(0039) 338 4490234,Castello Tesino, Cimitero Villazzano,Lago delle Buse,Bar Figliezzi IP,Macelleria Capraro,campo sportivo - Ziano
13,13,PENISOLA VERDE,46.0065755206029,11.2474679946899,Calceranica Al Lago,"VIA PENISOLA VERDE, 5",(0039) 0461 723272,Calceranica Al Lago, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
14,14,CAMPING MARIO,46.005,11.2615,Caldonazzo,"VIA LUNGOLAGO, 4",(0039) 0461 723341,Ischia-Alle Terrazze, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
15,15,CAMPING VALMALENE,46.1140627241198,11.6182136535645,Pieve Tesino,LOCALITA' VAL MALENE,(0039) 0461 594627,Pradellano-Al Lago, Cimitero Villazzano,CENTRO VISITATORI DEL PARCO NATURALE DI PANEVEGGIO,Bar Figliezzi IP,Macelleria Capraro,campo sportivo - Ziano
16,16,CAMPING PUNTA LAGO,46.0024389,11.254469,Calceranica Al Lago,"VIA LUNGO LAGO, 70",(0039) 0461 723229,Calceranica C.So Alpini Gmp, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
17,17,CAMPEGGIO SAN CRISTOFORO,46.0371649293121,11.2363958358765,Pergine Valusgana,"VIA DEI PESCATORI, 48",(0039) 0461 706290,S.Cristoforo Al Lago, Cimitero Villazzano,Ecomuseo dell'Argentario,Esso Area di Servizio EST,Re Laurino,Ghiaie (via Fersina)
18,18,CAMPING LAGO DI LEVICO,46.0080808021035,11.2860488891602,Levico Terme,"LOC. PLEINA, 5",+39(0039)706491,Levico T. Rist.Brenta, Cimitero Villazzano,Dos de la Mot,Bar AGIP 2000,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
19,19,CAMPEGGIO ALICE,46.041953701001,11.6472887992859,Castello Tesino,LOC. CELADO,(0039) 0461 594018,Castello Tesino, Cimitero Villazzano,Lago delle Buse,Bar Figliezzi IP,Macelleria Capraro,campo sportivo - Ziano
20,20,CAMPING BELVEDERE,46.0034605010773,11.2566947937012,Calceranica Al Lago,"VIALE VENEZIA, 6",(0039) 0461 723239,Calceranica C.So Alpini Gmp, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
21,21,CAMPEGGIO AI CASTAGNI,46.0730371069234,11.455864906311,Torcegno,"LOC. LOBEA, 1",(0039) 0461 766129,Torcegno-Segheria, Cimitero Villazzano,Dosso di Segonzano - da Bedollo,Bar Esso,Az. Agricola Busarello,via Segherie (2) - Molina
22,22,CAMPING FLEIOLA,46.0071269651149,11.2461805343628,Calceranica Al Lago,"VIALE TRENTO, 42",(0039) 0461 723153,Calceranica Via Donegani, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
23,23,CAMPING 2 LAGHI,46.0044449,11.2874144,Levico Terme,"LOC. COSTA, 3",(0039) 0461 706290,Levico T. Rist. Brenta, Cimitero Villazzano,Dos de la Mot,Bar AGIP 2000,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
24,24,CAMPING AL PESCATORE,46.0023724385711,11.255042552948,Calceranica Al Lago,"VIA DEI PESCATORI, 1",(0039) 0461 723062,Calceranica C.So Alpini Gmp, Mattarello,Ecomuseo dell'Argentario,Bar Fina,Bottega Artigiana di Capozzi Lorenzo,Ghiaie (via Fersina)
